Location,Rate (WB),Year,Rate (ITU),Year.1,Users (CIA),Year.2,Notes
World,67.4,2023.0,67.4,2023.0,,,
Afghanistan,18.4,2020.0,17.6,2019.0,7020000.0,2020.0,
Albania,83.1,2023.0,83.1,2023.0,2291000.0,2021.0,
Algeria,71.2,2022.0,71.2,2022.0,31240000.0,2021.0,
American Samoa,,,,,18135.0,2021.0,
Andorra,94.5,2022.0,94.5,2022.0,74260.0,2021.0,
Angola,39.3,2022.0,39.3,2022.0,11550000.0,2021.0,
Anguilla,,,81.6,2016.0,13056.0,2021.0,
Antigua and Barbuda,91.4,2022.0,91.4,2022.0,89280.0,2021.0,
Argentina,89.2,2023.0,89.2,2023.0,39150000.0,2021.0,
Armenia,78.6,2021.0,77.0,2022.0,2212000.0,2021.0,
Aruba,97.2,2017.0,97.2,2017.0,106800.0,2021.0,
Australia,95.0,2021.0,94.9,2022.0,24960000.0,2021.0,
Austria,95.3,2023.0,95.3,2023.0,8277000.0,2021.0,
Azerbaijan,88.0,2022.0,88.0,2022.0,8600000.0,2021.0,
Bahamas,94.4,2022.0,94.4,2022.0,385400.0,2021.0,
Bahrain,100.0,2021.0,100.0,2023.0,1500000.0,2021.0,
Bangladesh,44.5,2023.0,44.5,2023.0,66300000.0,2021.0,
Barbados,76.2,2022.0,76.2,2022.0,240800.0,2021.0,
Belarus,91.5,2023.0,91.5,2023.0,8352000.0,2021.0,
Belgium,94.6,2023.0,94.6,2023.0,10920000.0,2021.0,
Belize,70.4,2022.0,70.4,2022.0,248000.0,2021.0,
Benin,33.8,2022.0,33.8,2022.0,4420000.0,2021.0,
Bermuda,98.4,2017.0,98.4,2017.0,64000.0,2021.0,
Bhutan,86.8,2022.0,86.8,2022.0,670800.0,2021.0,
Bolivia,73.3,2022.0,73.3,2022.0,7920000.0,2021.0,
Bosnia and Herzegovina,83.4,2023.0,83.4,2023.0,2508000.0,2021.0,
Botswana,77.3,2022.0,77.3,2022.0,1924000.0,2021.0,
Brazil,84.2,2023.0,84.2,2023.0,170100000.0,2021.0,
British Virgin Islands,77.7,2016.0,77.7,2017.0,24087.0,2021.0,
Brunei,99.0,2022.0,99.0,2022.0,441000.0,2021.0,
Bulgaria,80.4,2023.0,80.4,2023.0,5175000.0,2021.0,
Burkina Faso,19.9,2022.0,19.9,2022.0,4840000.0,2021.0,
Burundi,11.3,2022.0,11.3,2022.0,754000.0,2021.0,
Cambodia,56.7,2022.0,56.7,2022.0,10200000.0,2021.0,
Cameroon,43.9,2022.0,43.9,2022.0,12420000.0,2021.0,
Canada,94.6,2018.0,94.0,2022.0,35340000.0,2021.0,
Cape Verde,72.1,2022.0,72.1,2022.0,413000.0,2021.0,
Cayman Islands,81.1,2017.0,81.1,2017.0,55148.0,2021.0,
Central African Republic,10.6,2021.0,7.5,2019.0,605000.0,2021.0,
Chad,12.2,2022.0,12.2,2022.0,3060000.0,2021.0,
Chile,94.1,2023.0,94.1,2023.0,17100000.0,2021.0,
China,77.5,2023.0,77.5,2023.0,1022000000.0,2021.0,
Christmas Island,,,,,1139.0,2021.0,
Cocos (Keeling) Islands,,,,,80.0,2021.0,
Colombia,73.0,2021.0,72.8,2022.0,37960000.0,2021.0,
Comoros,27.3,2021.0,16.4,2019.0,221400.0,2021.0,
Cook Islands,,,54.0,2016.0,11382.0,2021.0,
Costa Rica,85.1,2023.0,85.1,2023.0,4316000.0,2021.0,
Croatia,83.2,2023.0,83.2,2023.0,3321000.0,2021.0,
Cuba,73.2,2022.0,73.2,2022.0,7810000.0,2021.0,
Curacao,68.1,2017.0,68.1,2017.0,111956.0,2021.0,
Cyprus,91.2,2023.0,91.2,2023.0,809900.0,2021.0,
Czech Republic,86.0,2023.0,86.0,2023.0,9130000.0,2021.0,
Democratic Republic of the Congo,27.2,2022.0,27.2,2022.0,21102720.0,2021.0,
Denmark,98.9,2021.0,98.8,2023.0,5841000.0,2021.0,
Djibouti,65.0,2022.0,65.0,2022.0,759000.0,2021.0,
Dominica,83.4,2022.0,83.4,2022.0,58320.0,2021.0,
Dominican Republic,85.2,2021.0,84.4,2022.0,9350000.0,2021.0,
East Timor,40.8,2022.0,40.8,2022.0,507000.0,2021.0,
Ecuador,72.7,2023.0,72.7,2023.0,13680000.0,2021.0,
Egypt,72.2,2022.0,72.2,2022.0,79200000.0,2021.0,
El Salvador,62.9,2022.0,62.9,2022.0,3969000.0,2021.0,
Equatorial Guinea,66.8,2022.0,66.8,2022.0,864000.0,2021.0,
Eritrea,26.6,2022.0,26.6,2022.0,792000.0,2021.0,
Estonia,93.2,2023.0,93.2,2023.0,1183000.0,2021.0,
Eswatini,58.3,2022.0,58.3,2022.0,708000.0,2021.0,
Ethiopia,19.4,2022.0,19.4,2022.0,20400000.0,2021.0,
Falkland Islands,,,99.0,2016.0,3762.0,2021.0,
Faroe Islands,97.6,2017.0,97.6,2017.0,51728.0,2021.0,
Fiji,85.2,2022.0,85.2,2022.0,809600.0,2021.0,
Finland,93.5,2023.0,93.5,2023.0,5115000.0,2021.0,
France,86.8,2023.0,86.8,2023.0,55900000.0,2021.0,
French Guiana,,,25.7,2009.0,,,
French Polynesia,72.7,2017.0,72.7,2017.0,218100.0,2021.0,
Gabon,73.7,2022.0,73.7,2022.0,1656000.0,2021.0,
Gambia,54.2,2022.0,54.2,2022.0,858000.0,2021.0,
Georgia,81.9,2023.0,81.9,2023.0,2888000.0,2021.0,
Germany,92.5,2023.0,92.5,2023.0,75530000.0,2021.0,
Ghana,69.8,2022.0,69.8,2022.0,22440000.0,2021.0,
Gibraltar,94.4,2016.0,94.4,2016.0,31152.0,2021.0,
Greece,85.0,2023.0,85.0,2023.0,7800000.0,2021.0,
Greenland,69.5,2017.0,69.5,2017.0,38920.0,2021.0,
Grenada,79.9,2022.0,79.9,2022.0,93600.0,2021.0,
Guadeloupe,,,23.4,2009.0,,,
Guam,80.5,2017.0,80.5,2017.0,136850.0,2021.0,
Guatemala,54.4,2022.0,54.4,2022.0,9180000.0,2021.0,
Guernsey,,,83.6,2011.0,55069.0,2021.0,
Guinea,33.9,2022.0,33.9,2022.0,4900000.0,2021.0,
Guinea-Bissau,31.6,2022.0,31.6,2022.0,735000.0,2021.0,
Guyana,85.3,2022.0,85.3,2022.0,680000.0,2021.0,
Haiti,39.3,2019.0,39.3,2019.0,4290000.0,2021.0,
Honduras,59.7,2022.0,59.7,2022.0,4800000.0,2021.0,
Hong Kong,95.6,2022.0,95.6,2022.0,6975000.0,2021.0,
Hungary,91.5,2023.0,91.5,2023.0,8633000.0,2021.0,
Iceland,99.9,2022.0,99.9,2022.0,370000.0,2021.0,
India,43.4,2020.0,43.4,2020.0,644000000.0,2021.0,
Indonesia,69.2,2023.0,69.2,2023.0,167400000.0,2021.0,
Iran,81.7,2022.0,81.7,2022.0,69520000.0,2021.0,
Iraq,78.7,2022.0,78.7,2022.0,21560000.0,2021.0,
Ireland,95.6,2022.0,95.6,2022.0,4750000.0,2021.0,
Israel,91.9,2022.0,91.9,2022.0,8010000.0,2021.0,
Italy,87.0,2023.0,87.0,2023.0,44250000.0,2021.0,
Ivory Coast,43.8,2017.0,38.4,2022.0,12150000.0,2021.0,
Jamaica,85.1,2022.0,85.1,2022.0,2296000.0,2021.0,
Japan,93.2,2016.0,84.9,2022.0,99600000.0,2021.0,
Jersey,,,41.0,2012.0,96038.0,2021.0,
Jordan,90.5,2022.0,90.5,2022.0,9130000.0,2021.0,
Kazakhstan,92.9,2023.0,92.9,2023.0,17290000.0,2021.0,
Kenya,40.8,2022.0,40.8,2022.0,15370000.0,2021.0,
Kiribati,54.4,2022.0,54.4,2022.0,70200.0,2021.0,
Kosovo,89.4,2018.0,89.4,2018.0,1756300.0,2021.0,
Kuwait,99.8,2022.0,99.7,2023.0,4300000.0,2021.0,
Kyrgyzstan,79.8,2022.0,79.8,2022.0,5070000.0,2021.0,
Laos,66.2,2022.0,66.2,2022.0,4588000.0,2021.0,
Latvia,92.2,2023.0,92.2,2023.0,1729000.0,2021.0,
Lebanon,90.1,2022.0,90.1,2022.0,4872000.0,2021.0,
Lesotho,47.0,2022.0,47.0,2022.0,1104000.0,2021.0,
Liberia,30.1,2022.0,30.1,2022.0,1768000.0,2021.0,
Libya,88.4,2022.0,88.4,2022.0,3095400.0,2021.0,
Liechtenstein,99.6,2017.0,96.8,2022.0,37440.0,2021.0,
Lithuania,88.5,2023.0,88.5,2023.0,2436000.0,2021.0,
Luxembourg,99.4,2023.0,99.3,2023.0,633600.0,2021.0,
Macao,89.8,2022.0,89.8,2022.0,607200.0,2021.0,
Madagascar,20.6,2022.0,20.6,2022.0,5800000.0,2021.0,
Malawi,27.7,2022.0,18.0,2023.0,4800000.0,2021.0,
Malaysia,97.7,2023.0,97.7,2023.0,32980000.0,2021.0,
Maldives,85.2,2021.0,83.9,2022.0,447200.0,2021.0,
Mali,33.1,2022.0,33.1,2022.0,7480000.0,2021.0,
Malta,91.9,2023.0,91.9,2023.0,461100.0,2021.0,
Marshall Islands,73.2,2022.0,73.2,2022.0,16254.0,2021.0,
Martinique,,,42.0,2009.0,,,
Mauritania,44.4,2022.0,44.4,2022.0,2714000.0,2021.0,
Mauritius,75.5,2022.0,75.5,2022.0,884000.0,2021.0,
Mayotte,,,1.2,2000.0,,,
Mexico,81.2,2023.0,81.2,2023.0,98800000.0,2021.0,
Micronesia,40.5,2022.0,40.5,2022.0,44000.0,2021.0,
Moldova,71.0,2016.0,63.5,2022.0,1891000.0,2021.0,
Monaco,98.6,2020.0,98.4,2022.0,31820.0,2021.0,
Mongolia,83.9,2022.0,83.9,2022.0,2772000.0,2021.0,
Montenegro,88.2,2022.0,88.2,2022.0,516600.0,2021.0,
Montserrat,,,54.6,2011.0,2473.0,2021.0,
Morocco,89.9,2022.0,89.9,2022.0,32560000.0,2021.0,
Mozambique,21.2,2022.0,21.2,2022.0,5440000.0,2021.0,
Myanmar,48.1,2019.0,48.1,2019.0,23760000.0,2021.0,
Namibia,62.2,2022.0,62.2,2022.0,1325000.0,2021.0,
Nauru,83.3,2021.0,82.7,2022.0,10920.0,2021.0,
Nepal,49.6,2022.0,49.6,2022.0,15600000.0,2021.0,
Netherlands,97.0,2023.0,97.0,2023.0,16560000.0,2021.0,
New Caledonia,82.0,2017.0,82.0,2017.0,237800.0,2021.0,
New Zealand,95.7,2021.0,95.7,2022.0,4896000.0,2021.0,
Nicaragua,61.1,2022.0,61.1,2022.0,3933000.0,2021.0,
Niger,16.9,2022.0,16.9,2022.0,5500000.0,2021.0,
Nigeria,35.5,2022.0,35.5,2022.0,115500000.0,2021.0,
Niue,,,79.6,2011.0,1512.0,2021.0,
Norfolk Island,,,,,806.0,2021.0,
North Macedonia,84.2,2022.0,84.2,2022.0,1743000.0,2021.0,
Northern Mariana Islands,,,,,12299.0,2021.0,
Norway,99.0,2021.0,99.0,2023.0,5346000.0,2021.0,
Oman,97.9,2022.0,95.3,2023.0,4320000.0,2021.0,
Pakistan,33.0,2022.0,32.9,2022.0,48300000.0,2021.0,
Palau,,,27.0,2004.0,6696.0,2021.0,
Palestine,88.7,2022.0,86.6,2023.0,7540651.0,,[a]
Panama,73.6,2022.0,73.6,2022.0,2992000.0,2021.0,
Papua New Guinea,27.0,2022.0,27.0,2022.0,3168000.0,2021.0,
Paraguay,78.1,2023.0,78.1,2023.0,5159000.0,2021.0,
Peru,74.7,2022.0,74.7,2022.0,24140000.0,2021.0,
Philippines,75.2,2022.0,75.2,2022.0,58300000.0,2021.0,
Pitcairn Islands,,,,,37.0,2021.0,
Poland,86.9,2022.0,86.4,2023.0,32300000.0,2021.0,
Portugal,85.8,2023.0,85.8,2023.0,8200000.0,2021.0,
Puerto Rico,87.3,2022.0,87.3,2022.0,2564100.0,2021.0,
Qatar,100.0,2021.0,100.0,2022.0,2700000.0,2021.0,
Republic of the Congo,36.3,2022.0,36.2,2022.0,1794390.0,2021.0,
R̩union,,,36.3,2009.0,,,
Romania,89.2,2023.0,89.2,2023.0,15960000.0,2021.0,
Russia,92.3,2023.0,92.2,2023.0,132000000.0,2021.0,
Rwanda,34.4,2022.0,34.4,2022.0,3900000.0,2021.0,
Saint Barthelemy,,,,,7077.0,2022.0,
"Saint Helena, Ascension, and Tristan da Cunha",,,40.5,2012.0,2287.0,2021.0,[b]
Saint Kitts and Nevis,76.5,2022.0,76.5,2022.0,37920.0,2021.0,
Saint Lucia,75.8,2020.0,74.2,2022.0,140400.0,2021.0,
Saint Martin,,,,,19284.0,2022.0,
Saint Pierre and Miquelon,,,,,5099.0,2022.0,
Saint Vincent and the Grenadines,78.7,2021.0,77.7,2022.0,85000.0,2021.0,
Samoa,76.3,2021.0,75.3,2022.0,171600.0,2021.0,
San Marino,85.1,2022.0,85.1,2022.0,25500.0,2021.0,
Sao Tome and Principe,57.0,2022.0,57.0,2022.0,112200.0,2021.0,
Saudi Arabia,100.0,2021.0,100.0,2023.0,36000000.0,2021.0,
Senegal,60.0,2022.0,60.0,2022.0,9860000.0,2021.0,
Serbia,85.4,2023.0,85.4,2023.0,5589000.0,2021.0,
Seychelles,86.7,2022.0,86.7,2022.0,90200.0,2021.0,
Sierra Leone,30.4,2022.0,30.4,2022.0,1047499.0,2022.0,
Singapore,96.9,2021.0,94.3,2023.0,5369000.0,2021.0,
Sint Maarten,,,,,39089.0,2022.0,
Slovakia,89.9,2020.0,87.2,2023.0,4806000.0,2021.0,
Slovenia,90.4,2023.0,90.4,2023.0,1869000.0,2021.0,
Solomon Islands,47.3,2021.0,45.0,2022.0,255600.0,2021.0,
Somalia,27.6,2022.0,27.6,2022.0,2465000.0,2021.0,
South Africa,74.7,2022.0,74.7,2022.0,42480000.0,2021.0,
South Korea,97.6,2021.0,97.4,2023.0,50960000.0,2021.0,
South Sudan,12.1,2022.0,12.1,2022.0,869000.0,2021.0,
Spain,95.5,2023.0,95.4,2023.0,44180000.0,2021.0,
Sri Lanka,50.1,2022.0,50.1,2022.0,14740000.0,2021.0,
Sudan,28.7,2022.0,28.7,2022.0,13248000.0,2021.0,
Suriname,75.8,2022.0,75.8,2022.0,402600.0,2021.0,
Sweden,95.7,2023.0,95.7,2023.0,8800000.0,2021.0,
Switzerland,97.3,2023.0,97.3,2023.0,8352000.0,2021.0,
Syria,35.8,2020.0,34.7,2019.0,8492468.0,2022.0,
Taiwan,,,93.1,2023.0,21600000.0,2021.0,
Tajikistan,36.1,2022.0,36.1,2022.0,3009054.0,2022.0,
Tanzania,31.9,2022.0,31.9,2022.0,20480000.0,2021.0,
Thailand,89.5,2023.0,89.5,2023.0,61200000.0,2021.0,
Togo,37.6,2022.0,37.6,2022.0,3010000.0,2021.0,
Tokelau,,,1.5,2003.0,800.0,2021.0,
Tonga,66.7,2020.0,57.5,2021.0,73700.0,2021.0,
Trinidad and Tobago,80.0,2022.0,80.0,2022.0,1185000.0,2021.0,
Tunisia,73.8,2022.0,73.8,2022.0,9480000.0,2021.0,
Turkey,86.0,2023.0,86.0,2023.0,68850000.0,2021.0,
Turkmenistan,21.3,2017.0,21.3,2017.0,1563023.0,2022.0,
Turks and Caicos Islands,,,,,37008.0,2022.0,
Tuvalu,82.3,2021.0,81.2,2022.0,7920.0,2021.0,
Uganda,10.0,2021.0,10.0,2021.0,4600000.0,2021.0,
Ukraine,79.2,2021.0,79.2,2021.0,34596356.0,2021.0,
United Arab Emirates,100.0,2020.0,100.0,2023.0,9400000.0,2021.0,
United Kingdom,95.3,2022.0,95.3,2022.0,64990000.0,2021.0,
United States,97.1,2022.0,97.1,2022.0,312800000.0,2021.0,
Uruguay,89.9,2022.0,89.9,2022.0,3060000.0,2021.0,
US Virgin Islands,64.4,2017.0,64.4,2017.0,67508.0,2022.0,
Uzbekistan,89.0,2023.0,89.0,2023.0,26180000.0,2021.0,
Vanuatu,69.9,2022.0,69.9,2022.0,211200.0,2021.0,
Vatican City,,,85.1,2022.0,383.0,2021.0,
Venezuela,61.6,2017.0,61.6,2017.0,22734162.0,2022.0,
Vietnam,78.6,2022.0,78.1,2023.0,71780000.0,2021.0,
Wallis and Futuna,,,9.0,2012.0,5496.0,2021.0,
Yemen,26.7,2017.0,17.7,2022.0,8229624.0,2022.0,
Zambia,31.2,2022.0,31.2,2022.0,3990000.0,2021.0,
Zimbabwe,32.6,2022.0,32.6,2022.0,5600000.0,2021.0,
